Word,Sentence,Meaning,Pronunciation,WordType
bat,He broke his bat when he slammed it against the ground in frustration.,sports equipment,/bæt/,non-heteronym
bat,A bat flew into our attic through the small opening in the roof.,nocturnal animal,/bæt/,non-heteronym
bat,Bats use echolocation to navigate in complete darkness.,nocturnal animal,/bæt/,non-heteronym
bat,The conservation program aims to protect endangered bat species.,nocturnal animal,/bæt/,non-heteronym
bat,The documentary explored how bats are beneficial for insect control.,nocturnal animal,/bæt/,non-heteronym
bat,She screamed when a bat swooped low over her head.,nocturnal animal,/bæt/,non-heteronym
bat,Some cultures associate bats with supernatural beliefs.,nocturnal animal,/bæt/,non-heteronym
bat,The zoologist has been studying fruit bats in Southeast Asia.,nocturnal animal,/bæt/,non-heteronym
bat,The cave's ceiling was covered with hundreds of sleeping bats.,nocturnal animal,/bæt/,non-heteronym
bat,Vampire bats primarily feed on the blood of livestock.,nocturnal animal,/bæt/,non-heteronym
bat,The photographer captured amazing images of bats in flight.,nocturnal animal,/bæt/,non-heteronym
spring,The flowers are starting to bloom now that spring has arrived.,season,/sprɪŋ/,non-heteronym
spring,We always plan a family camping trip during spring break.,season,/sprɪŋ/,non-heteronym
spring,The birds return from migration in early spring.,season,/sprɪŋ/,non-heteronym
spring,Spring is my favorite season because of the mild temperatures.,season,/sprɪŋ/,non-heteronym
spring,The gardening center gets very busy during spring.,season,/sprɪŋ/,non-heteronym
spring,"After a long winter, everyone looks forward to spring.",season,/sprɪŋ/,non-heteronym
spring,The spring festival celebrates the renewal of life.,season,/sprɪŋ/,non-heteronym
spring,Spring cleaning is a tradition in many households.,season,/sprɪŋ/,non-heteronym
spring,The spring semester starts in January at most universities.,season,/sprɪŋ/,non-heteronym
spring,Seasonal allergies tend to worsen during spring.,season,/sprɪŋ/,non-heteronym
spring,The engineer designed a new spring for the watch mechanism.,coiled metal,/sprɪŋ/,non-heteronym
spring,The mattress has lost its support because the springs are worn out.,coiled metal,/sprɪŋ/,non-heteronym
spring,The car's suspension system relies on heavy-duty springs.,coiled metal,/sprɪŋ/,non-heteronym
spring,He compressed the spring and released it to demonstrate potential energy.,coiled metal,/sprɪŋ/,non-heteronym
spring,The spring in the pen keeps jamming when I try to click it.,coiled metal,/sprɪŋ/,non-heteronym
spring,The toy jack-in-the-box works by releasing a compressed spring.,coiled metal,/sprɪŋ/,non-heteronym
spring,The old sofa had a broken spring that poked through the cushion.,coiled metal,/sprɪŋ/,non-heteronym
spring,The door closes automatically thanks to the spring mechanism.,coiled metal,/sprɪŋ/,non-heteronym
spring,The trampoline's bounce comes from dozens of tightly wound springs.,coiled metal,/sprɪŋ/,non-heteronym
spring,He's studying the physics of how springs store and release energy.,coiled metal,/sprɪŋ/,non-heteronym
pen,She signed the contract with the pen her father had given her.,writing instrument,/pɛn/,non-heteronym
pen,I keep a pen in my bag for jotting down quick notes.,writing instrument,/pɛn/,non-heteronym
pen,The fountain pen leaked ink all over his shirt pocket.,writing instrument,/pɛn/,non-heteronym
pen,He collected antique pens from different historical periods.,writing instrument,/pɛn/,non-heteronym
pen,The artist prefers drawing with a fine-tipped pen.,writing instrument,/pɛn/,non-heteronym
pen,She ran out of ink in her pen during the exam.,writing instrument,/pɛn/,non-heteronym
pen,The company gave away branded pens at the conference.,writing instrument,/pɛn/,non-heteronym
pen,Digital signatures are slowly replacing the need for a physical pen.,writing instrument,/pɛn/,non-heteronym
pen,The calligrapher demonstrated different pen techniques.,writing instrument,/pɛn/,non-heteronym
pen,My favorite pen has a comfortable grip and smooth ink flow.,writing instrument,/pɛn/,non-heteronym
pen,The farmer moved the sheep into the pen for the night.,animal enclosure,/pɛn/,non-heteronym
pen,They built a sturdy pen for the new piglets.,animal enclosure,/pɛn/,non-heteronym
pen,The zookeeper cleaned the penguin pen every morning.,animal enclosure,/pɛn/,non-heteronym
pen,We need to repair the fence around the cattle pen.,animal enclosure,/pɛn/,non-heteronym
pen,The puppies are kept in a pen until they're old enough to roam freely.,animal enclosure,/pɛn/,non-heteronym
pen,The exhibition featured a petting zoo with animals in separate pens.,animal enclosure,/pɛn/,non-heteronym
pen,The chicken pen needs better protection from predators.,animal enclosure,/pɛn/,non-heteronym
pen,They installed a heat lamp in the pen for the baby chicks.,animal enclosure,/pɛn/,non-heteronym
pen,"During the county fair, judges walk through the animal pens.",animal enclosure,/pɛn/,non-heteronym
pen,The rescue center has a special pen for injured wildlife.,animal enclosure,/pɛn/,non-heteronym
pitch,The baseball pitcher threw a perfect pitch right over the plate.,throw,/pɪtʃ/,non-heteronym
pitch,His fastball pitch can reach speeds of 95 miles per hour.,throw,/pɪtʃ/,non-heteronym
pitch,The batter swung at the wild pitch but missed completely.,throw,/pɪtʃ/,non-heteronym
pitch,The coach taught different pitch techniques to the young players.,throw,/pɪtʃ/,non-heteronym
pitch,Her curveball pitch fooled the opposing team's best hitter.,throw,/pɪtʃ/,non-heteronym
pitch,"With two strikes, the pitcher delivered a perfect pitch.",throw,/pɪtʃ/,non-heteronym
pitch,The catcher signaled for a low pitch on the outside corner.,throw,/pɪtʃ/,non-heteronym
pitch,His knuckleball pitch is nearly impossible to hit.,throw,/pɪtʃ/,non-heteronym
pitch,The rookie is still developing consistency with his pitch control.,throw,/pɪtʃ/,non-heteronym
pitch,The slow-motion replay showed the rotation of the pitch.,throw,/pɪtʃ/,non-heteronym
pitch,The entrepreneur's pitch impressed all of the potential investors.,sales presentation,/pɪtʃ/,non-heteronym
pitch,Her strong pitch helped secure funding for the startup.,sales presentation,/pɪtʃ/,non-heteronym
pitch,The marketing team prepared a pitch for the new client.,sales presentation,/pɪtʃ/,non-heteronym
pitch,The advertising agency's pitch focused on social media strategy.,sales presentation,/pɪtʃ/,non-heteronym
pitch,They have ten minutes to deliver their pitch to the board.,sales presentation,/pɪtʃ/,non-heteronym
pitch,His sales pitch emphasized the product's unique features.,sales presentation,/pɪtʃ/,non-heteronym
pitch,We need to refine our pitch before the meeting tomorrow.,sales presentation,/pɪtʃ/,non-heteronym
pitch,The competition winners had the strongest pitch for their app idea.,sales presentation,/pɪtʃ/,non-heteronym
pitch,She practiced her pitch dozens of times before the conference.,sales presentation,/pɪtʃ/,non-heteronym
pitch,The pitch deck included market analysis and financial projections.,sales presentation,/pɪtʃ/,non-heteronym
light,The photographer adjusted the light to eliminate shadows.,illumination,/laɪt/,non-heteronym
light,The power outage left us without light for several hours.,illumination,/laɪt/,non-heteronym
light,Early morning light streamed through the window.,illumination,/laɪt/,non-heteronym
light,The art gallery uses special light to protect the paintings.,illumination,/laɪt/,non-heteronym
light,The stage light highlighted the lead actress during her solo.,illumination,/laɪt/,non-heteronym
light,Scientists study how plants convert light into energy.,illumination,/laɪt/,non-heteronym
light,The traffic light turned from red to green.,illumination,/laɪt/,non-heteronym
light,She installed dimmer switches to control the light intensity.,illumination,/laɪt/,non-heteronym
light,The candle's flickering light created shadows on the wall.,illumination,/laɪt/,non-heteronym
light,We could see the light from the lighthouse miles away.,illumination,/laɪt/,non-heteronym
light,The backpack was surprisingly light and easy to carry.,not heavy,/laɪt/,non-heteronym
light,He prefers light jackets for spring weather.,not heavy,/laɪt/,non-heteronym
light,The recipe calls for light cream instead of heavy cream.,not heavy,/laɪt/,non-heteronym
light,Modern laptops are much lighter than older models.,not heavy,/laɪt/,non-heteronym
light,These light aluminum frames are perfect for hiking.,not heavy,/laɪt/,non-heteronym
light,The doctor advised me to do only light exercise until my injury heals.,not heavy,/laɪt/,non-heteronym
light,I prefer light meals in hot weather.,not heavy,/laɪt/,non-heteronym
light,"This fabric is light and breathable, perfect for summer clothing.",not heavy,/laɪt/,non-heteronym
light,The furniture is light enough that I can move it by myself.,not heavy,/laɪt/,non-heteronym
light,The vehicle's light frame makes it fuel-efficient.,not heavy,/laɪt/,non-heteronym
ring,She wore a diamond ring on her left hand.,jewelry,/rɪŋ/,non-heteronym
ring,He proposed with his grandmother's antique ring.,jewelry,/rɪŋ/,non-heteronym
ring,The jeweler resized the ring to fit her finger perfectly.,jewelry,/rɪŋ/,non-heteronym
ring,She lost her wedding ring while swimming in the ocean.,jewelry,/rɪŋ/,non-heteronym
ring,The gold ring has been in our family for generations.,jewelry,/rɪŋ/,non-heteronym
ring,He designed a custom ring with their birthstones.,jewelry,/rɪŋ/,non-heteronym
ring,The ring felt tight after her fingers swelled in the heat.,jewelry,/rɪŋ/,non-heteronym
ring,She twisted the ring nervously during the interview.,jewelry,/rɪŋ/,non-heteronym
ring,The pawn shop had a collection of vintage rings.,jewelry,/rɪŋ/,non-heteronym
ring,The metal detector beeped when it sensed the ring in the sand.,jewelry,/rɪŋ/,non-heteronym
ring,The coffee cup left a ring on the wooden table.,circular mark,/rɪŋ/,non-heteronym
ring,The tree trunk showed rings indicating its age.,circular mark,/rɪŋ/,non-heteronym
ring,Olympic rings symbolize the unity of five continents.,circular mark,/rɪŋ/,non-heteronym
ring,The boxer fought in the ring for the championship title.,circular mark,/rɪŋ/,non-heteronym
ring,Saturn's rings are visible through a telescope.,circular mark,/rɪŋ/,non-heteronym
ring,Children stood in a ring to play the game.,circular mark,/rɪŋ/,non-heteronym
ring,The circus performance took place in the center ring.,circular mark,/rɪŋ/,non-heteronym
ring,Dark rings under his eyes showed his lack of sleep.,circular mark,/rɪŋ/,non-heteronym
ring,The bathtub had a dirty ring that needed cleaning.,circular mark,/rɪŋ/,non-heteronym
ring,She drew concentric rings to create a target.,circular mark,/rɪŋ/,non-heteronym
note,She left a note on the refrigerator about dinner plans.,short message,/noʊt/,non-heteronym
note,The teacher sent a note home about the field trip.,short message,/noʊt/,non-heteronym
note,He scribbled a quick note to remind himself of the appointment.,short message,/noʊt/,non-heteronym
note,I found a note tucked inside the library book.,short message,/noʊt/,non-heteronym
note,She passed a note to her friend during class.,short message,/noʊt/,non-heteronym
note,The delivery person left a note saying they'd return tomorrow.,short message,/noʊt/,non-heteronym
note,His love notes always made her smile.,short message,/noʊt/,non-heteronym
note,The sticky note on my computer reminds me of my password.,short message,/noʊt/,non-heteronym
note,The doctor made notes about the patient's symptoms.,short message,/noʊt/,non-heteronym
note,I take detailed notes during lectures to study later.,short message,/noʊt/,non-heteronym
note,The pianist hit a wrong note during the recital.,musical tone,/noʊt/,non-heteronym
note,She can sing that high note perfectly every time.,musical tone,/noʊt/,non-heteronym
note,The bass note resonated throughout the concert hall.,musical tone,/noʊt/,non-heteronym
note,He held the final note for an impressive duration.,musical tone,/noʊt/,non-heteronym
note,The guitarist bent the note for emotional effect.,musical tone,/noʊt/,non-heteronym
note,She's learning to read musical notes on the staff.,musical tone,/noʊt/,non-heteronym
note,That instrument can't play notes below middle C.,musical tone,/noʊt/,non-heteronym
note,The melody includes a series of quarter notes.,musical tone,/noʊt/,non-heteronym
note,The song begins with a distinctive three-note pattern.,musical tone,/noʊt/,non-heteronym
note,"His saxophone produces a warm, rich note.",musical tone,/noʊt/,non-heteronym
file,The manager keeps employee records in a locked file cabinet.,collection of documents,/faɪl/,non-heteronym
file,The attorney prepared a legal file for the upcoming case.,collection of documents,/faɪl/,non-heteronym
file,She organized her tax documents in a digital file.,collection of documents,/faɪl/,non-heteronym
file,The medical file contained all of his health records.,collection of documents,/faɪl/,non-heteronym
file,The journalist maintained a file of sources for investigative stories.,collection of documents,/faɪl/,non-heteronym
file,Police compiled a detailed file on the suspect.,collection of documents,/faɪl/,non-heteronym
file,The secretary created a new file for the incoming client.,collection of documents,/faɪl/,non-heteronym
file,He saved the spreadsheet as a PDF file.,collection of documents,/faɪl/,non-heteronym
file,The corrupted file couldn't be opened after the system crash.,collection of documents,/faɪl/,non-heteronym
file,Back up important files regularly to prevent data loss.,collection of documents,/faɪl/,non-heteronym
file,The carpenter used a file to smooth the rough edges of the wood.,tool,/faɪl/,non-heteronym
file,She needed a metal file to remove the burrs from the pipe.,tool,/faɪl/,non-heteronym
file,The nail file is essential in my manicure kit.,tool,/faɪl/,non-heteronym
file,He sharpened the saw teeth with a triangular file.,tool,/faɪl/,non-heteronym
file,The jeweler used a fine file for delicate metalwork.,tool,/faɪl/,non-heteronym
file,Different grades of files are used for various finishing tasks.,tool,/faɪl/,non-heteronym
file,The sculptor's studio contained dozens of specialized files.,tool,/faɪl/,non-heteronym
file,She filed her nails into an oval shape.,tool,/faɪl/,non-heteronym
file,The apprentice learned how to use a file without damaging the material.,tool,/faɪl/,non-heteronym
file,A diamond file works best on hardened steel.,tool,/faɪl/,non-heteronym
wave,The surfer rode the massive wave all the way to shore.,ocean movement,/weɪv/,non-heteronym
wave,A huge wave crashed against the rocks during the storm.,ocean movement,/weɪv/,non-heteronym
wave,Scientists study how wave patterns affect coastal erosion.,ocean movement,/weɪv/,non-heteronym
wave,Tsunami warning systems detect unusual wave activity.,ocean movement,/weɪv/,non-heteronym
wave,Children love jumping over small waves at the beach.,ocean movement,/weɪv/,non-heteronym
wave,The lifeguard monitored the wave conditions for safety.,ocean movement,/weɪv/,non-heteronym
wave,The documentary explained how waves are formed by wind.,ocean movement,/weɪv/,non-heteronym
wave,The boat rocked gently with each passing wave.,ocean movement,/weɪv/,non-heteronym
wave,You can hear the rhythmic sound of waves from our beach house.,ocean movement,/weɪv/,non-heteronym
wave,The fishermen waited for calmer waves before heading out to sea.,ocean movement,/weɪv/,non-heteronym
wave,She stood on the dock and waved goodbye to the departing ship.,hand gesture,/weɪv/,non-heteronym
wave,The queen's signature wave has been analyzed by etiquette experts.,hand gesture,/weɪv/,non-heteronym
wave,The little boy waved excitedly when he saw Santa Claus.,hand gesture,/weɪv/,non-heteronym
wave,He gave a friendly wave to his neighbor across the street.,hand gesture,/weɪv/,non-heteronym
wave,The parade participants waved to the crowd as they passed by.,hand gesture,/weɪv/,non-heteronym
wave,She noticed his wave from across the crowded room.,hand gesture,/weɪv/,non-heteronym
wave,The soldier's last wave to his family lingered in their memory.,hand gesture,/weɪv/,non-heteronym
wave,"With a casual wave, he dismissed their concerns.",hand gesture,/weɪv/,non-heteronym
wave,The toddler practiced waving during our video call.,hand gesture,/weɪv/,non-heteronym
wave,A simple wave can be a powerful greeting across cultures.,hand gesture,/weɪv/,non-heteronym
plant,The gardener carefully watered each plant in the greenhouse.,living organism,/plænt/,non-heteronym
plant,That plant needs more sunlight to thrive.,living organism,/plænt/,non-heteronym
plant,The botanist discovered a new species of plant in the rainforest.,living organism,/plænt/,non-heteronym
plant,House plants can improve air quality indoors.,living organism,/plænt/,non-heteronym
plant,Desert plants have adapted to conserve water.,living organism,/plænt/,non-heteronym
plant,She has a remarkable ability to keep any plant alive.,living organism,/plænt/,non-heteronym
plant,The rare plant is protected by conservation laws.,living organism,/plænt/,non-heteronym
plant,Some plants have medicinal properties used in traditional medicine.,living organism,/plænt/,non-heteronym
plant,The garden center sells a variety of indoor and outdoor plants.,living organism,/plænt/,non-heteronym
plant,This climbing plant will eventually cover the entire wall.,living organism,/plænt/,non-heteronym
plant,The company opened a new manufacturing plant in Mexico.,factory,/plænt/,non-heteronym
plant,"The automobile plant employs over 2,000 workers.",factory,/plænt/,non-heteronym
plant,The power plant supplies electricity to three counties.,factory,/plænt/,non-heteronym
plant,Environmental regulations apply to chemical plants.,factory,/plænt/,non-heteronym
plant,The steel plant operates 24 hours a day.,factory,/plænt/,non-heteronym
plant,The tour group visited the bottling plant to see how soda is made.,factory,/plænt/,non-heteronym
plant,A fire at the processing plant disrupted supply chains.,factory,/plænt/,non-heteronym
plant,The old textile plant has been converted into luxury apartments.,factory,/plænt/,non-heteronym
plant,The nuclear plant underwent safety inspections last month.,factory,/plænt/,non-heteronym
plant,The water treatment plant ensures clean drinking water for the city.,factory,/plænt/,non-heteronym
staple,Rice is a staple food in many Asian countries.,food item,/ˈsteɪpəl/,non-heteronym
staple,Bread has been a staple of the human diet for thousands of years.,food item,/ˈsteɪpəl/,non-heteronym
staple,Beans are an affordable protein staple in their diet.,food item,/ˈsteɪpəl/,non-heteronym
staple,Corn is a dietary staple throughout Latin America.,food item,/ˈsteɪpəl/,non-heteronym
staple,Potatoes became a staple crop in Europe after their introduction.,food item,/ˈsteɪpəl/,non-heteronym
staple,The restaurant is known for elevating simple staple ingredients.,food item,/ˈsteɪpəl/,non-heteronym
staple,"During hard times, government programs ensure access to staple foods.",food item,/ˈsteɪpəl/,non-heteronym
staple,The cooking class focused on preparing staple dishes from around the world.,food item,/ˈsteɪpəl/,non-heteronym
staple,Pasta is a staple in Italian cuisine.,food item,/ˈsteɪpəl/,non-heteronym
staple,Olive oil is a Mediterranean staple used in countless dishes.,food item,/ˈsteɪpəl/,non-heteronym
staple,The document was secured with a staple in the top corner.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,The staple gun is essential for upholstery projects.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,She ran out of staples for the stapler before finishing the report.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,The doctor removed the surgical staples after the incision healed.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,The construction workers used heavy-duty staples to secure the roofing material.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,The carpet installer used a staple gun to attach the padding.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,He accidentally stapled his finger while putting up flyers.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,The package was sealed with staples rather than tape.,fastening device,/ˈsteɪpəl/,non-heteronym
staple,"The booklet's staples rusted, staining the pages.",fastening device,/ˈsteɪpəl/,non-heteronym
staple,Modern staplers can handle up to 20 sheets at once.,fastening device,/ˈsteɪpəl/,non-heteronym
watch,She received a gold watch for her retirement gift.,timepiece,/wɒtʃ/,non-heteronym
watch,His grandfather's watch still keeps perfect time.,timepiece,/wɒtʃ/,non-heteronym
watch,Smart watches offer features beyond telling time.,timepiece,/wɒtʃ/,non-heteronym
watch,The jeweler repaired the broken watch mechanism.,timepiece,/wɒtʃ/,non-heteronym
watch,She wound her mechanical watch every morning.,timepiece,/wɒtʃ/,non-heteronym
watch,The museum displayed watches from different historical periods.,timepiece,/wɒtʃ/,non-heteronym
watch,His diving watch is waterproof to 100 meters.,timepiece,/wɒtʃ/,non-heteronym
watch,The nurse used her watch to take the patient's pulse.,timepiece,/wɒtʃ/,non-heteronym
watch,Luxury watches retain their value over time.,timepiece,/wɒtʃ/,non-heteronym
watch,He checked his watch anxiously as the time for the interview approached.,timepiece,/wɒtʃ/,non-heteronym
watch,Parents take turns to watch the children at the playground.,observe,/wɒtʃ/,non-heteronym
watch,The security guard will watch the entrance during the event.,observe,/wɒtʃ/,non-heteronym
watch,Bird watchers gather at dawn to watch the rare species.,observe,/wɒtʃ/,non-heteronym
watch,I like to watch the sunset from my balcony.,observe,/wɒtʃ/,non-heteronym
watch,The coach will watch the players carefully during tryouts.,observe,/wɒtʃ/,non-heteronym
watch,Scientists watch the volcano for signs of eruption.,observe,/wɒtʃ/,non-heteronym
watch,The audience watched in amazement as the magician performed.,observe,/wɒtʃ/,non-heteronym
watch,Wildlife photographers often watch animals for hours.,observe,/wɒtʃ/,non-heteronym
watch,Lifeguards watch swimmers for signs of distress.,observe,/wɒtʃ/,non-heteronym
watch,The detective asked witnesses to watch for suspicious behavior.,observe,/wɒtʃ/,non-heteronym
toast,I like my toast with butter and jam for breakfast.,browned bread,/toʊst/,non-heteronym
toast,The restaurant serves avocado toast with poached eggs.,browned bread,/toʊst/,non-heteronym
toast,She burned the toast and had to make a new batch.,browned bread,/toʊst/,non-heteronym
toast,Cinnamon toast was his favorite childhood snack.,browned bread,/toʊst/,non-heteronym
toast,The toaster can make four slices of toast at once.,browned bread,/toʊst/,non-heteronym
toast,French toast is made by dipping bread in egg mixture before cooking.,browned bread,/toʊst/,non-heteronym
toast,She scraped the burnt edges off the toast.,browned bread,/toʊst/,non-heteronym
toast,Sourdough makes excellent toast because of its texture.,browned bread,/toʊst/,non-heteronym
toast,The café specializes in artisanal toast with various toppings.,browned bread,/toʊst/,non-heteronym
toast,"He likes his toast lightly browned, not dark.",browned bread,/toʊst/,non-heteronym
toast,The best man prepared a heartfelt toast for the wedding couple.,celebratory drink,/toʊst/,non-heteronym
toast,They raised their glasses in a toast to the graduate.,celebratory drink,/toʊst/,non-heteronym
toast,The CEO gave a toast at the company's anniversary party.,celebratory drink,/toʊst/,non-heteronym
toast,It's tradition to toast the New Year with champagne.,celebratory drink,/toʊst/,non-heteronym
toast,Her emotional toast brought many guests to tears.,celebratory drink,/toʊst/,non-heteronym
toast,He practiced his toast repeatedly before the big event.,celebratory drink,/toʊst/,non-heteronym
toast,"In many cultures, specific phrases are used when making a toast.",celebratory drink,/toʊst/,non-heteronym
toast,The father of the bride traditionally gives the first toast.,celebratory drink,/toʊst/,non-heteronym
toast,We should toast to your new job promotion!,celebratory drink,/toʊst/,non-heteronym
toast,The dinner party ended with a series of humorous toasts.,celebratory drink,/toʊst/,non-heteronym
crane,The construction company used a crane to lift heavy materials.,lifting machine,/kreɪn/,non-heteronym
crane,The tower crane dominates the skyline of the construction site.,lifting machine,/kreɪn/,non-heteronym
crane,They needed a mobile crane to move the fallen tree.,lifting machine,/kreɪn/,non-heteronym
crane,The operator controls the crane from a cabin high above the ground.,lifting machine,/kreɪn/,non-heteronym
crane,Dock cranes load and unload shipping containers quickly.,lifting machine,/kreɪn/,non-heteronym
crane,Safety regulations for crane operations were recently updated.,lifting machine,/kreɪn/,non-heteronym
crane,The museum used a specialized crane to install the large sculpture.,lifting machine,/kreɪn/,non-heteronym
crane,Wind conditions affect how safely a crane can operate.,lifting machine,/kreɪn/,non-heteronym
crane,The collapsed bridge required a massive crane for the cleanup.,lifting machine,/kreɪn/,non-heteronym
crane,The overhead crane moved heavy parts across the factory floor.,lifting machine,/kreɪn/,non-heteronym
crane,The photographer waited patiently to capture the rare crane in flight.,bird,/kreɪn/,non-heteronym
crane,Cranes are known for their elaborate mating dances.,bird,/kreɪn/,non-heteronym
crane,The whooping crane population has increased due to conservation efforts.,bird,/kreɪn/,non-heteronym
crane,The wildlife sanctuary provides habitat for migrating cranes.,bird,/kreɪn/,non-heteronym
crane,Japanese folklore features cranes as symbols of longevity.,bird,/kreɪn/,non-heteronym
crane,The crane's distinctive call could be heard across the wetlands.,bird,/kreɪn/,non-heteronym
crane,Thousands of sandhill cranes gather during their annual migration.,bird,/kreɪn/,non-heteronym
crane,The tall crane waded through the shallow water searching for fish.,bird,/kreɪn/,non-heteronym
crane,They spotted a crowned crane with its distinctive golden head feathers.,bird,/kreɪn/,non-heteronym
crane,The ornithologist studies the nesting habits of cranes.,bird,/kreɪn/,non-heteronym
bolt,The carpenter secured the shelf with a bolt through the bracket.,fastener,/boʊlt/,non-heteronym
bolt,The machine requires special titanium bolts for high-temperature applications.,fastener,/boʊlt/,non-heteronym
bolt,He tightened each bolt with a wrench to ensure stability.,fastener,/boʊlt/,non-heteronym
bolt,The furniture kit included all the necessary bolts and screws.,fastener,/boʊlt/,non-heteronym
bolt,"Rust had frozen the old bolt, making it impossible to remove.",fastener,/boʊlt/,non-heteronym
bolt,The engineer specified high-tension bolts for the bridge construction.,fastener,/boʊlt/,non-heteronym
bolt,A loose bolt caused the machinery to malfunction.,fastener,/boʊlt/,non-heteronym
bolt,The DIY guide explained how to anchor bolts properly in concrete.,fastener,/boʊlt/,non-heteronym
bolt,She replaced the door's deadbolt for better security.,fastener,/boʊlt/,non-heteronym
bolt,The bolt sheared off under excessive pressure.,fastener,/boʊlt/,non-heteronym
bolt,The athlete made a bolt for the finish line in the final stretch.,quick movement,/boʊlt/,non-heteronym
bolt,The horse made a sudden bolt when startled by the loud noise.,quick movement,/boʊlt/,non-heteronym
bolt,The scared rabbit made a bolt for the safety of its burrow.,quick movement,/boʊlt/,non-heteronym
bolt,The prisoner planned his bolt during the evening meal.,quick movement,/boʊlt/,non-heteronym
bolt,Lightning bolts flashed across the stormy sky.,quick movement,/boʊlt/,non-heteronym
bolt,The dog ate so quickly it was like he bolted his food.,quick movement,/boʊlt/,non-heteronym
bolt,The nervous speaker felt the urge to bolt from the stage.,quick movement,/boʊlt/,non-heteronym
bolt,The shoplifter made a bolt for the exit when approached by security.,quick movement,/boʊlt/,non-heteronym
bolt,Children bolted from the classroom when the bell rang.,quick movement,/boʊlt/,non-heteronym
bolt,The sprinter bolted from the starting blocks at the sound of the gun.,quick movement,/boʊlt/,non-heteronym
fan,The electric fan provided relief during the heat wave.,cooling device,/fæn/,non-heteronym
fan,She adjusted the ceiling fan to the highest setting.,cooling device,/fæn/,non-heteronym
fan,Computer processors need fans to prevent overheating.,cooling device,/fæn/,non-heteronym
fan,The industrial fan circulated air throughout the warehouse.,cooling device,/fæn/,non-heteronym
fan,A portable fan is essential for outdoor summer events.,cooling device,/fæn/,non-heteronym
fan,The fan's motor made a clicking noise when operating.,cooling device,/fæn/,non-heteronym
fan,Modern fans include remote controls and timer functions.,cooling device,/fæn/,non-heteronym
fan,He positioned the fan to create a cross breeze with the open window.,cooling device,/fæn/,non-heteronym
fan,The air conditioning unit includes multiple fan speeds.,cooling device,/fæn/,non-heteronym
fan,She used a handheld fan during the outdoor ceremony.,cooling device,/fæn/,non-heteronym
fan,He's been a loyal fan of the team since childhood.,enthusiastic follower,/fæn/,non-heteronym
fan,The musician greeted fans after the concert.,enthusiastic follower,/fæn/,non-heteronym
fan,Social media allows celebrities to connect with fans directly.,enthusiastic follower,/fæn/,non-heteronym
